dataset,methods,communication latency,packet loss,translation error,rotation error,AP,ATE,ASE,AOE,AVE,AMOTA,AMOTP,RECALL,MOTAR,GT,MOTA,MOTP,MT,ML,FAF,TP,FP,FN,IDS,FRAG,TID,LGD
100scenes_random,0-no fusion,0,0,0,0,0.459,0.4,0.11,0.197,2.999,0.481,1.105,0.568,0.784,21683,0.442,0.503,62,79,80.8,12236,2647,9375,72,161,8.14,12.98
100scenes_random,1-early fusion,0,0,0,0,0.583,0.43,0.119,0.143,2.813,0.649,0.89,0.705,0.872,21683,0.613,0.567,95,48,59.7,15251,1958,6393,39,143,4.88,9.75
100scenes_random,2a1-v2x-vit,0,0,0,0,0.4,0.524,0.154,0.188,3.015,0.423,1.181,0.477,0.726,21683,0.346,0.551,45,99,86.3,10327,2828,11332,24,159,12.55,18.47
100scenes_random,2a2-where2comm,0,0,0,0,0.406,0.517,0.134,0.259,3.441,0.451,1.207,0.497,0.818,21683,0.406,0.494,54,103,59.7,10762,1957,10902,19,91,6.09,13.79
100scenes_random,2b1-cooptrack,0,0,0,0,0.468,0.374,0.106,0.14,3.029,0.49,1.11,0.542,0.834,21683,0.452,0.481,61,88,59.3,11736,1943,9931,16,106,7.73,12.9
100scenes_random,2b2-univ2x,0,0,0,0,0.402,0.497,0.153,0.189,3.229,0.443,1.179,0.519,0.713,21683,0.369,0.512,53,93,98.2,11213,3219,10431,39,121,9.12,16.03
100scenes_random,3-late fusion,0,0,0,0,0.375,0.323,0.703,0.157,3.535,0.4,1.076,0.409,0.766,21683,0.313,0.398,52,131,63.2,8851,2071,12814,18,49,8.41,14.09
50scenes_25m,0-no fusion,0,0,0,0,0.375,0.409,0.102,0.272,3.493,0.365,1.291,0.378,0.867,8320,0.327,0.358,16,54,28.1,3140,419,5178,2,23,8.31,16.45
50scenes_25m,1-early fusion,0,0,0,0,0.607,0.38,0.142,0.333,3.404,0.67,0.82,0.711,0.933,8320,0.662,0.468,33,18,26.7,5908,398,2403,9,27,5.25,11.21
50scenes_25m,1-early fusion,100,0,0,0,0.564,0.424,0.141,0.314,3.387,0.64,0.884,0.702,0.898,8265,0.63,0.533,31,20,39.7,5791,588,2462,12,50,4.84,11.41
50scenes_25m,1-early fusion,200,0,0,0,0.508,0.483,0.142,0.306,3.378,0.58,0.986,0.662,0.854,8210,0.564,0.589,29,23,54,5422,794,2771,17,74,5.84,12.99
50scenes_25m,1-early fusion,300,0,0,0,0.459,0.511,0.141,0.292,3.347,0.513,1.067,0.614,0.775,8155,0.474,0.605,22,27,76.9,4988,1123,3148,19,84,6.13,13.81
50scenes_25m,1-early fusion,400,0,0,0,0.42,0.52,0.141,0.292,3.291,0.45,1.143,0.567,0.686,8100,0.387,0.586,22,34,99.2,4575,1438,3510,15,77,7.18,15.95
